current_user_id,image_path,item_description
Flynn,images/cursed-lasagna.jpg,"This is a very cursed Lasagna with colgate taste, but I swear it will be the most delicious Lasagna you'll ever try!!!!"
Felix,images/food-screen.png,"Hey, this is just a home screen of my food page, sorry to bother you with kind of random, unrelated content"
 ,data/cursed-lasagna.jpg,again the very cursed lasagna
 ,images/cursed-lasagna.jpg,once more this is the cursed lasagne
Flynn,images/cursed-lasagna.jpg,ye yeslasagna lasagne cursed cursed
Flynn,images/cursed-lasagna.jpg,AAAnd again the same lasagna
Felix,images/cursed-lasagna.jpg,Hey this is Felix I also have a cursed lasagna to offer
 ,images/cursed-lasagna.jpg,what the hell another cursed lasagna
 ,,
 ,images/cursed-lasagna.jpg,not a cursed lasagna
 ,,
 ,images/cursed-lasagna,also not a cursed lasagna
 ,images/cursed-lasagna.jpg,"No, I will not enter an Item description!!!!"
